Date,Open,High,Low,Close,Volume,UpAndDown
 99/01/04,17.95,18.25,17.8,18.15,"3,629",0.3
 99/01/05,18.35,18.85,18.35,18.8,"5,557",0.65
 99/01/06,18.95,19,18.4,18.5,"3,031",-0.3
 99/01/07,18.5,19.1,18.4,18.6,"5,313",0.1
 99/01/08,18.7,19.8,18.65,19.6,"6,358",1
 99/01/11,19.6,20.2,19.4,20.05,"4,718",0.45
 99/01/12,20.15,20.25,19.5,19.9,"3,368",-0.15
 99/01/13,19.6,19.85,19.1,19.1,"2,648",-0.8
 99/01/14,19.1,19.9,19.1,19.6,"3,668",0.5
 99/01/15,19.95,20.15,19.7,19.75,"2,923",0.15
 99/01/18,19.5,19.6,19.3,19.3,"1,710",-0.45
 99/01/19,19.3,19.55,18.8,19,"1,890",-0.3
 99/01/20,19.3,19.7,19.1,19.7,"3,279",0.7
 99/01/21,19.7,20,19.35,19.75,"3,624",0.05
 99/01/22,19.2,19.5,18.85,19.05,"2,904",-0.7
 99/01/25,19.05,19.2,18.2,18.5,"2,126",-0.55
 99/01/26,18.7,18.7,17.45,17.65,"2,680",-0.85
 99/01/27,17.8,18.15,17.55,17.9,"2,322",0.25
 99/01/28,18.1,18.25,17.85,18,897,0.1
 99/01/29,18,18.6,17.55,18.5,"2,685",0.5
 99/02/01,18.55,18.55,18.15,18.25,960,-0.25
 99/02/02,18.5,18.5,17.95,18.25,"1,511",0
 99/02/03,18.35,18.4,18.1,18.2,"1,148",-0.05
 99/02/04,18,18.3,17.7,17.75,"1,566",-0.45
 99/02/05,17.35,17.4,16.6,16.6,"2,559",-1.15
 99/02/06,16.5,16.75,16.3,16.6,"1,590",0
 99/02/08,17,17.25,16.7,17.25,"1,755",0.65
 99/02/09,17.2,17.35,16.9,17.35,"1,276",0.1
 99/02/10,17.4,17.6,17.2,17.3,"1,680",-0.05
 99/02/22,17.55,17.75,17.4,17.7,"1,701",0.4
 99/02/23,18,18.9,17.8,18.9,"3,793",1.2
 99/02/24,18.8,19.1,18.6,18.7,"4,308",-0.2
